"","onset","terminus","from","to","weight"
"516",7,8,8,8,217.697096922314
"517",1,2,8,9,1.54837078363968
"518",2,3,8,9,1.761417689
"519",3,4,8,9,9.584410435
"520",4,5,8,9,2.444336006
"521",5,6,8,9,5.86674941522269
"522",6,7,8,9,0.722509029423418
"523",7,8,8,9,0.640156600853168
"525",5,6,8,10,11.2753172427978
"526",6,7,8,10,1.62536595755843
"527",7,8,8,10,0.554916484531083
"529",4,5,8,11,0.647600661
"530",5,6,8,11,5.57784588682605
"531",6,7,8,11,11.0474694510537
"532",7,8,8,11,0.684244468381063
"533",1,2,9,1,14.0306706250509
"534",2,3,9,1,5.630789707
"535",3,4,9,1,23.81456684
"536",4,5,9,1,12.342841126
"537",5,6,9,1,14.0507253596814
"538",6,7,9,1,3.31928378090454
"539",7,8,9,1,1.28262721564117
"540",1,2,9,2,2.07735950632249
"541",3,4,9,2,1.262247416
"542",5,6,9,2,5.2266932312442
"543",1,2,9,3,24.6494719245474
"544",2,3,9,3,19.028865234
"545",3,4,9,3,11.982115401
"546",4,5,9,3,19.415849106
"547",5,6,9,3,21.4832480427569
"548",6,7,9,3,13.6316369050874
"549",7,8,9,3,3.183940321202
"550",1,2,9,4,1.49528090546734
"551",2,3,9,4,0.976466249
"552",3,4,9,4,5.201423148
"553",4,5,9,4,2.172848133
"554",7,8,9,4,1.61870145295954
"555",1,2,9,5,3.51405245437332
"556",2,3,9,5,1.444871921
"557",3,4,9,5,15.193168425
"558",4,5,9,5,28.398684422
"559",5,6,9,5,10.3775671918203
"560",6,7,9,5,3.8857752946626
"561",7,8,9,5,1.36848893676213
"562",1,2,9,6,5.87637791631495
"563",2,3,9,6,2.199996941
"564",3,4,9,6,2.827131277
"565",4,5,9,6,7.901704999
"566",5,6,9,6,0.709553306806327
"567",6,7,9,6,0.626785751283601
"568",7,8,9,6,0.281676684316433
"569",1,2,9,7,7.61780196153242
"570",2,3,9,7,2.764060787
"571",3,4,9,7,13.84362972
"572",4,5,9,7,6.684966471
"573",5,6,9,7,12.2865876867497
